fecha;NUMERO DE VIAJES (HOJA DE DISTRIB);REPARTO;UNIDAD;PUNTO DE PARTIDA;TIPO DE FLOTA (Propio o Tercero);PESO REQUERIDO;PESO ENTREGADO;PESO ENTREGADO A TIEMPO;NRO ENTREGAS EFECTUADAS (Nro Guias);NRO ENTREGAS RECHAZADAS (Nro Guias);CONSUMO D2;H. SALIDA;FLETE;H.INGRESO;TIEMPO REPARTO;KM INICIAL;KM FINAL;KM RECORRIDO (KM Inicial - KM Final);KM/GL;;;;;;;;;
26/10/2022;64043;FUNDO;DIP-028;Chiclayo, Perú;Propia;1916,50;1916,50;100%;9;0;5,340;9:32:00;S/ 873,44;15:14:00;5:42:00;95832;96011;179;33,52;;;;;;;;;
26/10/2022;64075;LOCAL;DIP-028;Chiclayo, Perú;Propia;1209,00;1209,00;100%;5;0;1,343;16:27:00;S/ 438,31;18:56:00;2:29:00;96011;96056;45;33,52;;;;;;;;;
26/10/2022;64032;LOCAL;BRL-549;Chiclayo, Perú;Propia;1736,25;1736,25;100%;14;0;1,812;8:57:00;S/ 484,14;13:17:00;4:20:00;174381;174425;44;24,29;;;;;;;;;
26/10/2022;64076;LOCAL;BRL-549;Chiclayo, Perú;Propia;2402,00;2402,00;100%;6;0;1,812;16:39:00;S/ 1.215,68;19:00:00;2:21:00;174425;174469;44;24,29;;;;;;;;;
26/10/2022;64028;FUNDO;SMG-875;Cajamarca, Perú;Propia;66,00;66,00;100%;1;0;4,349;7:20:00;S/ 33,00;11:38:00;4:18:00;66276;66423;147;33,80;;;;;;;;;
26/10/2022;RECOJO;RECOJO;SMG-875;Cajamarca, Perú;Propia;0,00;0,00;0%;0;0;0,444;0:00:00;S/ 0,00;0:00:00;0:00:00;66423;66438;15;33,80;;;;;;;;;
26/10/2022;64070;LOCAL;SMG-875;Cajamarca, Perú;Propia;2671,00;2671,00;100%;9;0;0,888;15:22:00;S/ 817,90;18:41:00;3:19:00;66438;66468;30;33,80;;;;;;;;;
26/10/2022;64031;LOCAL;PMN-125;Trujillo,  Perú;Propia;806,65;806,65;100%;9;0;1,880;8:40:00;S/ 258,80;12:31:00;3:51:00;72820;72869;49;26,06;;;;;;;;;
26/10/2022;64073;LOCAL;PMN-125;Trujillo,  Perú;Propia;2589,00;2589,00;100%;4;0;1,151;16:01:00;S/ 1.077,83;19:23:00;3:22:00;72869;72899;30;26,06;;;;;;;;;
27/10/2022;64157;FUNDO;SMG-875;Cajamarca, Perú;Propia;1478,00;1478,00;100%;2;0;3,005;7:20:00;S/ 738,99;10:09:00;2:49:00;66468;66557;89;29,62;;;;;;;;;
